compound,Name,Formula,CAS,MolWeight,C1,C2,C3,C4,Tmin,Dmin,Tmax,Dmax
311,Silicon tetrafluoride,F4Si,7783-61-1,104.07911,1.1945,0.24128,259.0,0.16693,186.35,15.635,259.0,4.9507
312,Styrene,C8H8,100-42-5,104.14912,0.7397,0.2603,636.0,0.3009,242.54,9.1088,636.0,2.8417
313,Succinic acid,C4H6O4,110-15-6,118.08804,0.65882,0.21741,838.0,0.28571,460.85,10.21,838.0,3.0303
314,Sulfur dioxide,O2S,7446-09-5,64.0638,2.106,0.25842,430.75,0.2895,197.67,25.298,430.75,8.1495
315,Sulfur hexafluoride,F6S,2551-62-4,146.0554192,1.3587,0.2701,318.69,0.2921,223.15,12.631,318.69,5.0304
316,Sulfur trioxide,O3S,7446-11-9,80.0632,1.4969,0.19013,490.85,0.4359,289.95,24.241,490.85,7.873
317,Terephthalic acid,C8H6O4,100-21-0,166.13084,0.41922,0.17775,883.6,0.28571,700.15,7.102,883.6,2.3585
318,o-Terphenyl,C18H14,84-15-1,230.30376,5.7136,-0.003474,0.0,0.0,288.15,4.7126,313.19,4.6256
319,Tetradecane,C14H30,629-59-4,198.388,0.27248,0.24007,693.0,0.28571,279.01,3.889,693.0,1.135
320,Tetrahydrofuran,C4H8O,109-99-9,72.10572,1.2543,0.28084,540.15,0.2912,164.65,13.998,540.15,4.4662
321,"1,2,3,4-Tetrahydronaphthalene",C10H12,119-64-2,132.20228,0.67717,0.27772,720.0,0.2878,237.38,7.638,720.0,2.4383
322,Tetrahydrothiophene,C4H8S,110-01-0,88.17132,1.1628,0.28954,631.95,0.28674,176.99,12.408,631.95,4.016
323,"2,2,3,3-Tetramethylbutane",C8H18,594-82-1,114.22852,0.58988,0.27201,568.0,0.27341,373.96,5.7242,568.0,2.1686
324,Thiophene,C4H4S,110-02-1,84.13956,1.2874,0.28194,579.35,0.30781,234.94,13.43,579.35,4.5662
325,Toluene,C7H8,108-88-3,92.13842,0.8792,0.27136,591.75,0.29241,178.18,10.487,591.75,3.24
