compound,Name,Formula,CAS,MolWeight,C1,C2,C3,C4,Tmin,Dmin,Tmax,Dmax
94,Diethyl amine,C4H11N,109-89-7,73.13684,0.85379,0.25675,496.6,0.27027,223.35,10.575,496.6,3.3254
95,Diethyl ether,C4H10O,60-29-7,74.1216,0.9554,0.26847,466.7,0.2814,156.85,11.487,466.7,3.5587
96,Diethyl sulfide,C4H10S,352-93-2,90.1872,0.82227,0.26314,557.15,0.27369,169.2,10.47,557.15,3.1248
97,"1,1-Difluoroethane",C2H4F2,75-37-6,66.04997,1.4345,0.25774,386.44,0.28178,154.56,18.006,386.44,5.5657
98,"1,2-Difluoroethane",C2H4F2,624-72-6,66.04997,1.173,0.22856,445.0,0.28571,179.6,18.336,445.0,5.1321
99,Difluoromethane,CH2F2,75-10-5,52.02339,1.9973,0.24653,351.26,0.28153,136.95,27.399,351.26,8.1017
100,Di–sopropyl amine,C6H15N,108-18-9,101.19,0.6181,0.25786,523.1,0.271,176.85,8.0541,523.1,2.397
101,Di–sopropyl ether,C6H14O,108-20-3,102.17476,0.69213,0.26974,500.05,0.28571,187.65,8.0673,500.05,2.5659
102,Di–sopropyl ketone,C7H14O,565-80-0,114.18546,0.64619,0.26881,576.0,0.28036,204.81,7.6796,576.0,2.4039
103,"1,1-Dimethoxyethane",C4H10O2,534-15-6,90.121,0.89368,0.26599,507.8,0.28571,159.95,11.029,507.8,3.3598
104,"1,2-Dimethoxypropane",C5H12O2,7778-85-0,104.14758,0.76327,0.26742,543.0,0.28571,226.1,8.8431,543.0,2.8542
105,Dimethyl acetylene,C4H6,503-17-3,54.09044,1.1717,0.25895,473.2,0.27289,240.91,13.767,473.2,4.5248
106,Dimethyl amine,C2H7N,124-40-3,45.08368,1.5436,0.27784,437.2,0.2572,180.96,16.964,437.2,5.5557
107,"2,3-Dimethylbutane",C6H14,79-29-8,86.17536,0.7565,0.27305,500.0,0.27408,145.19,9.031,500.0,2.7706
108,"1,1-Dimethylcyclohexane",C8H16,590-66-9,112.21264,0.55873,0.25143,591.15,0.27758,239.66,7.3417,591.15,2.2222
109,"cis-1,2-Dimethylcyclohexane",C8H16,2207-01-4,112.21264,0.52953,0.24358,606.15,0.26809,223.16,7.5783,606.15,2.1739
110,"trans-1,2-Dimethylcyclohexane",C8H16,6876-23-9,112.21264,0.54405,0.25026,596.15,0.2658,184.99,7.6258,596.15,2.1739
